Agent Name,Agent Number,Address1,Address2,City,Province,PostalCode,Country,Telephone,Fax,EmailAddress,Vanline,Contact
THE NANAIMO MINUTE MEN LTD.,361,1890 EAST WELLINGTON ROAD,,NANAIMO,BC,V9S 5X7,Canada,2507547557,2507545475,peggyh@minute-men.com,UVL,PENNY HENWOOD
PACIFIC NORTHWEST MOVING,362,NO. 3 BURNS ROAD,,WHITEHORSE,YT,Y1A 4Z3,Canada,8676682511,8676686165,pnwsheldon@northwestel.net,UVL,SHELDON KING
ARMSTRONG VAN & STORAGE,385,243 N. CUMBERLAND ST,,THUNDER BAY,ON,P7A 4N4,Canada,8073457396,8073455569,sales@armstrongthemover.com,UVL,GARY WOODBECK
ENDELCO TRANSPORT INC.,408,1000 PERE DANIEL,,TROIS-RIVIÈRES,QC,G9A 5R6,Canada,8193741687,8193780527,martelex@qc.aira.com,UVL,JENNY PARR
SOO VAN & STORAGE,434,165 INDUSTRIAL PK CR,,SAULT STE. MARIE,ON,P6B 5P3,Canada,7052531158,7052538378,partners@soovan-united.com,UVL,RUSS HILDERLEY
TRANSPORTS ALBERT PELLETIER,437,1615 - 3RD AVE.,,VAL D'OR,QC,J9P 1V7,Canada,8198242393,8198253695,serge.turgeon@lino.com,UVL,SERGE TURGEON
GELDART'S WAREHOUSE & CARTAGE,464,145 EDINBURGH DR.,MONCTON IND. PARK,MONCTON,NB,E1E 2K9,Canada,5068573114,5068573087,geldarts@nb.aibn.com,UVL,DEAN WRY
BANDSTRA TRANSPORTATION SYS,466,EAST YELLOWHEAD 16,,SMITHERS,BC,V0J 2N0,Canada,2508770107,2508475042,pbandstra@bandstra.com,UVL,PHIL BANDSTRA
LES DEMENAGEMENTS TREMBLAY,473,"2379 RUE CANTIN, PARC INDUSTRIEL",,JONQUIERE,QC,G7X 8S7,Canada,4185472114,4186954929,luc@demenagementtremblay.com,UVL,LUC SIMARD
STAR TRANSFER LTD.,480,1175 A LOWER CHINA CREEK RD.,BOX 410,GENELLE,BC,V0G 1G0,Canada,2506932414,2506935474,startransfer@shaw.ca,UVL,RICK DONALDSON
ST.JOHN'S TRANSFER (1978),535,950 BOUNDARY ROAD,,CORNWALL,ON,K6H 5R5,Canada,6139331492,6139366865,stjohns1@bellnet.ca,UVL,DONALD DEEBANK
CESAR VAN & STORAGE LIMITED,545,"1160 BLAIR ROAD, UNIT #9",,BURLINGTON,ON,L7M 1K9,Canada,9055452383,9053362003,chrisc@movereservation.com,UVL,KIM INGLIS
BIRD'S TRANSFER LIMITED,547,10 SEAPARK DRIVE,,ST. CATHARINES,ON,L2M 6S6,Canada,9056822646,9056889764,birds@birdsmoving.com,UVL,IAN MACPHAIL
MCMINNIMAN'S TRANSFER LIMITED,552,297 RESTIGOUCHE ROAD,,OROMOCTO,NB,E2V 2H1,Canada,5064585560,5064464999,mcminn@nb.sympatico.ca,UVL,TIM HENRY
WILLIAMS MOVING & STORAGE,589,820 KOOTENAY ST. N.,,CRANBROOK,BC,V1C 3V3,Canada,2504264271,2504263461,williamscrbk@shawbiz.ca,UVL,CORY STEPNEY
MATCO TRANSPORTATION SYSTEMS,608,P.O. BOX 1218,,INUVIK,NT,X0E 0T0,Canada,8677772733,8677773372,inuvik@matco.ca,UVL,JORDAN FEDOSOFF
VAUGHAN'S/QUEEN CITY MOVING,622,421 BALL ROAD,,YORKTON,SK,S3N 2X1,Canada,3067822447,3067867766,vaughans.queencity@sasktel.net,UVL,KEITH VAUGHAN
WILLIAMS MOVING & STORAGE,624,3510 - 5TH AVE N,,LETHBRIDGE,AB,T1H 0P5,Canada,4033273911,4033289625,wmsmove@telusplanet.net,UVL,GARY STEPNEY
RIMOUSKI MOVING & STORAGE,633,430-A DES ARTISANS,,RIMOUSKI,QC,G5M 1A3,Canada,4187237272,4187230605,raymonde@u0633.ca,UVL,R. GRENIER
ALERT MOVING & STORAGE LTD.,656,46111-5TH AVENUE,,CHILLIWACK,BC,V2P 1M8,Canada,6047957771,6047920405,alert1@telus.net,UVL,CEEJAY NEUFELD
BEKINS MOVING & STORAGE,665,1440 PARK AVE.,,BRANDON,MB,R7A 1J2,Canada,2047286036,2047261433,sales@howardsvan.com,UVL,DON HOWARD
STAR MOVING AND STORAGE,669,25 ASPEN ROAD,,GOOSE BAY,NL,A0P 1C0,Canada,7098964998,7098960097,rapideqc@globetrotter.net,UVL,MARGARET ONEILL
CAMPBELL MOVING SYSTEMS INC.,672,3570 NASHUA DRIVE,,MISSISSAUGA,ON,L4V 1L2,Canada,9054544440,9054540235,672R@campbellbros.com,UVL,MARK HUDSON
HOYT'S MOVING & STORAGE,673,344 GRANDVIEW AVE,,SAINT JOHN,NB,E2J 4N1,Canada,5066331943,5066331947,saintjohn@hoytsunited.com,UVL,JERRY CALHOUN
CAPITAL MOVERS & STORAGE,674,56 RAILWAY ST.,,KINGSTON,ON,K7K 2L8,Canada,6135449574,6135446296,kingston@pleasemoveme.com,UVL,GLENN C. WARNER
BEKINS MOVING AND STORAGE,684,1600 - 14TH AVENUE,,CAMPBELL RIVER,BC,V9W 4H5,Canada,2502866218,2502863878,criver@bekins.ca,UVL,JIM GIBSON
BEKINS MOVING AND STORAGE,685,551 - 1ST AVENUE,,PRINCE GEORGE,BC,V2L 2Y2,Canada,2505630371,2505636514,pgeorge@bekins.ca,UVL,BRENDA BALSOM
BEKINS MOVING AND STORAGE,686,6598 BRYN ROAD,,SAANICHTON,BC,V8M 1X6,Canada,2505442245,2505442037,victoria@bekins.ca,UVL,DENISE SWEENIE
HHM TRANSPORTATION SOLUTIONS,689,127 CLYDE AVE.,DONOVANS IND. PARK,MOUNT PEARL,NL,A1N 4R9,Canada,7097474291,7097472687,anita@hhmtransportation.ca,UVL,ANITA O'DONNELL
HOYT'S MOVING & STORAGE,699,55 MACKENZIE RD,,FREDERICTON,NB,E3B 6B6,Canada,5064530123,5064529110,fredericton@hoytsunited.com,UVL,BARRY HOYT
MARTEL EXPRESS(TROIS RIVIERES),704,1000 PERE DANIEL,,TROIS RIVIERES,QC,G9A 5R6,Canada,8193782747,8193780527,martelex@qc.aira.com,UVL,GENEVIEVE
HIGHLAND MOVING & STORAGE LTD,723,14490 157 AVE NW,,EDMONTON,AB,T6V 0K8,Canada,7804536777,7804536622,info@highlandmoving.com,UVL,RUSTY ST. GERMN
CASSIDY'S TRANSFER & STORAGE,729,128 WILLOWLEA ROAD,,OTTAWA,ON,K0A 1L0,Canada,6138364225,6138360819,info@wemovetheworld.com,UVL,JIM SCHUITEBOER
BANDSTRA MOVING SYSTEMS,746,#135-9920 RIVER DR.,,RICHMOND,BC,V6X 3S3,Canada,6042735111,6042738534,moving@bandstra.com,UVL,JOHN BANDSTRA
CAMBRIDGE BAY ENTERPRISES,752,P.O. BOX 1190,,CAMBRIDGE BAY,NU,X0E 0C0,Canada,8679832777,8679832127,randy@polarnet.ca,UVL,R. MACDONALD
LAURIN EXPRESS LTEE.,762,1065 AVENUE DES PERRON,,LAVAL,QC,H7H 3C5,Canada,4504375051,4504356205,laurin@qc.aira.com,UVL,JEAN-M BOUSQUET
CAL NICHOLS MOVERS AND STORAGE,763,"RR #2,(HWY.90 WEST)",,BARRIE,ON,L4M 4S4,Canada,7057280811,7057285169,joerockbrune@bellnet.ca,UVL,JOE ROCKBRUNE
ALERT MOVING & STORAGE,772,#101-31330 WHEEL AVE,,ABBOTSFORD,BC,V2T 6G9,Canada,6048526059,6048501320,alertmoving@telus.net,UVL,CEEJAY NEUFELD
CAPITAL MOVERS & STORAGE,773,19 FRANKFORD CRES,,TRENTON,ON,K8V 5R7,Canada,6133923505,6133926916,trenton@pleasemoveme.com,UVL,PETER M. EVANS
STAR TRANSFER LTD.,774,1175 A LOWER CHINA CREEK RD.,BOX 410,GENELLE,BC,V0G 1G0,Canada,2506932414,2506935474,startransfer@telus.net,UVL,RICK DONALDSON
CANTIN'S MOVING & STORAGE,783,14251 BURROWS ROAD,,RICHMOND,BC,V6V 1K9,Canada,6042701120,6042769819,sales@bekins.ca,UVL,BRIAN LEE
PETERBOROUGH MOVERS & STORAGE,793,935 MAJOR BENNETT DRIVE,,PETERBOROUGH,ON,K9V 4R6,Canada,7057437241,7057430143,info@peterboroughmovers.com,UVL,JOBY LAKE
NEELEY'S VAN & STORAGE,796,"2333 REGENT STREET SOUTH, SUITE 1",,SUDBURY,ON,P3E 6K7,Canada,7055223322,7055223410,neelysvanandstorage@on.aibn.com,UVL,DENNIS O'BRIEN
RHEAULT & FILS LTEE.,798,142 ST-JEAN-BAPTISTE,,VICTORIAVILLE,QC,G6P 4G3,Canada,8197525777,8197581659,rheault1@bellnet.ca,UVL,R.RHEAULT
ASSOCIATED VAN LINES,800,BOX 1360 HWY #2,,BLACKFALDS,AB,T0M 0J0,Canada,4033464113,4038854868,avl@telusplanet.net,UVL,PETER MONTEITH
HINTON THE MOVER,801,2657 MCDOUGALL ST.,,WINDSOR,ON,N8X 3P3,Canada,5199661391,5199661284,hintonthemover@kelcom.igs.net,UVL,PATRICK FLAHERT
STAR TRANSFER LTD.,805,165 OKANAGAN AVE EAST,,PENTICTON,BC,V2A 3J6,Canada,2504922321,2506935474,startransferok@telus.net,UVL,RICK DONALDSON
HIGHLAND MOVING & STORAGE LTD.,808,7115 48TH ST. SE,UNIT 18,CALGARY,AB,T2C 5A4,Canada,4037203222,4032794062,info@highlandmoving.com,UVL,CASEY KACHUR
BANDSTRA TRANSPORTATION,809,9499 MILWAUKEE WAY,,PRINCE GEORGE,BC,V2N 5T3,Canada,2505631574,2505636246,kjenaway@bandstra.com,UVL,KEVIN JENAWAY
MATCO TRANSPORTATION SYSTEMS,821,18151-107 AVE N.W.,,EDMONTON,AB,T5S 1K4,Canada,7804848800,7804898114,edmonton@matco.ca,UVL,GORDON POULTNEY
BEKINS MOVING & STORAGE CANADA LTD.,822,P.O. BOX 182,1010 SHEARME RD,PARKSVILLE,BC,V0R 1M0,Canada,2502488805,2502489688,parksville@bekins.ca,UVL,CLAUDIA MNTEITH
ADVANTAGE RELOCATION SYSTEMS,824,501 - 114TH AVENUE,,DAWSON CREEK,BC,V1G 2Z9,Canada,2507828216,2507827455,movers@pris.bc.ca,UVL,DONALD MARTIN
BANDSTRA TRANSPORTATION SYSTEMS LTD.,825,115 METLAKATLA ROAD,P.O. BOX 631,PRINCE RUPERT,BC,V8J 3S1,Canada,2506246826,2506246806,cbromley@bandstra.com,UVL,CHRIS BROMLEY
HHM TRANSPORTATION SOLUTIONS,826,14 MCCURDY DR.,,GANDER,NL,A1V 1A2,Canada,7092568832,7096513270,gander@hhmtransportation.ca,UVL,MARY CHAFFEY
QUICK TRANSFER LTD.,828,1680 SARGENT AVE.,,WINNIPEG,MB,R3H 0C2,Canada,2047866011,2047839882,info@qtmoving.com,UVL,HARVEY MUELLER
LOCATION ET TRANSPORT TIVI INC,836,P.O. BOX 175,5205 AIRPORT RD.,KUUJJUAQ,QC,J0M 1C0,Canada,8199642465,8199642831,tivi@sympatico.ca,UVL,SUZANNE LESSARD
MATCO TRANSPORTATION SYSTEMS,838,5003-52ND AVENUE SE,,CALGARY,AB,T2C 4N7,Canada,4032365010,4032365031,calgary@matco.ca,UVL,WES ROBINSON
LINDSAY MOVERS & STORAGE,839,15 PIGEON LAKE ROAD RR#6,R.R. NO. 6,LINDSAY,ON,K9V 4R6,Canada,7053245431,7053243338,info@lindsaymovers.com,UVL,RON FANNING
ABBEYWOOD MOVING & STORAGE INC,844,480 FINCHDENE SQUARE,,SCARBOROUGH,ON,M1X 1C2,Canada,4162921107,4162927764,pat@abbeywoodmoving.com,UVL,FRED HAWTHORNE
LES DEMENAGEMENTS E. DORE LTEE.,846,1317-1313 BERSIMIS,,CHICOUTIMI,QC,G7K 1A4,Canada,4185430144,4185430686,alain@demenagementdore.com,UVL,FRANCOIS LEVESQ
BANDSTRA TRANSPORTATION SYSTEM,850,272-3RD STREET,,KITIMAT,BC,V8C 2B8,Canada,2506322544,2506327728,kitimat@bandstra.com,UVL,EARLE DAWSON
HOYT'S MOVING & STORAGE,852,320 WRIGHT AVENUE,UNIT 12,DARTMOUTH,NS,B3B 0B3,Canada,9028768202,9028760900,sales@hoytsunited.com,UVL,GERRY HACKETT
WILKE MOVERS LTD.,857,515 CONESTOGO ROAD,,WATERLOO,ON,N2L 4C9,Canada,5198841230,5198848898,wilkemovers@bellnet.ca,UVL,NEIL CAMPBELL
DUNCAN MOVING & STORAGE LTD.,863,#2-2913 ALLENBY ROAD,,DUNCAN,BC,V9L 6W2,Canada,2507465103,2507465152,stanc@minute-men.com,UVL,JOYCE BENNETT
ARBUTUS TRANSFER LTD.,867,14251 BURROWS ROAD,,RICHMOND,BC,V6V 1K9,Canada,6042762833,6042769819,sales@bekins.ca,UVL,BRIAN LEE
WALKER'S VAN AND STORAGE,868,33305 HWY. 17 WEST,,DEEP RIVER,ON,K0J 1P0,Canada,6135843323,6135842203,deepriver@pleasemoveme.com,UVL,GLENDA AMYOTTE
CAMPBELL MOVING CALGARY,872,7757 8TH ST NE,DEERFOOT BUS. PARK,CALGARY,AB,T2E 8A2,Canada,5878851014,5878851015,,UVL,PAT GREANEY
ARMSTRONG MOVING & STORAGE,873,630 SECRETARIAT COURT,,MISSISSAUGA,ON,L5S 2A5,Canada,9056704400,9056709139,move@armmove.com,UVL,ADAM HARWOOD
HALIFAX TRANSFER INCORPORATED,877,5 BURLEY CT,,DARTMOUTH,NS,B3B 2A3,Canada,9024686683,9024682782,f.miccolis@halifaxtransfer.ns.ca,UVL,DAN FERGUSON
WESTERN MOVING & STORAGE,878,11516-163 ST.,,EDMONTON,AB,T5M 3T3,Canada,7804546683,7804878548,tedl@westernmoving.com,UVL,TED LELACHEUR
WALKER'S VAN AND STORAGE,881,50 VENTURE CRES.,,NORTH BAY,ON,P1B 8G4,Canada,7054764223,7054760090,northbay@pleasemoveme.com,UVL,GLENDA AMYOTTE
SIMCOE MOVING & STORAGE LTD.,883,225 SAUNDERS RD.,,BARRIE,ON,L4N 9A3,Canada,7057390394,7057342513,simcoemoving@telizon.ca,UVL,ROB WARE
RAPID MOVING INC.,890,1065A AVENUE DES PERRON,,LAVAL,QC,H7H 3C5,Canada,8005632583,5143652645,bryanrapidemtl@globetrotter.net,UVL,BRYAN LEDUC
HOYT'S MOVING & STORAGE,892,193 MARSHALL ST.,,MIDDLETON,NS,B0S 1P0,Canada,9028256434,9028256025,middleton@hoytsunited.com,UVL,BILL PALMER
BAIRD MOVING INC.,893,550 TRILLIUM DR.,#5,KITCHENER,ON,N2R 1K3,Canada,5198951900,5197480649,sean@baird-inc.com,UVL,PATRICIA BAIRD
COUTURE MOVERS LTD.,895,445 RUE MENDEL,,STE-FOY,QC,G1X 4B9,Canada,4186871242,4186871753,transportcouture@qc.aira.com,UVL,LUC PROVENCHER
DEMENAGEMENT CHICOUTIMI,897,160 DES ROUTIERS,,CHICOUTIMI,QC,G7H 5B1,Canada,4186965022,4186931614,info@demenagementchicoutimi.com,UVL,LUC SIMARD
BEKINS MOVING & STORAGE,899,490 LUCAS AVE,"PO BOX 10, STN MAIN",WINNIPEG,MB,R3C 2G1,Canada,2046328899,2049434721,sales@canadamoving.com,UVL,PETER ARMSTRONG
CAMPBELL LIMITEE,902,26-K HYMUS BLVD,,MONTREAL,QC,H9R 1C8,Canada,5144590102,5144590105,,UVL,BRIAN HARGADON
MILLER THE MOVER,909,84 BERENS RD.,,THOMPSON,MB,R8N 1X2,Canada,2047786988,2047786988,john@kingofthemovers.com,UVL,JOHN MILOF
DEMENAGEMENT BARBER LTEE,915,1240 GRAHAM BELL,,BOUCHERVILLE,QC,J4B 6H5,Canada,4506552962,4506414733,,UVL,CHARLE DUSSAULT
HOYT'S MOVING & STORAGE LTD.,919,270 DALTON AVENUE,,MIRAMICHI,NB,E1V 3N9,Canada,5066224268,5066228329,919office@hoytsunited.com,UVL,BARRY HOYT
L. RICHARDS MOVING & CARTAGE,920,SHEPARDSON RD.,,NEW LISKEARD,ON,P0J 1P0,Canada,7056474346,7052687454,troy@richardsmoving.ca,UVL,GORD TOMCHICK
TREMBLAY M&S,921,"97, RUE BERTRAND",,FERMONT,QC,G0G 1J0,Canada,8448086540,5817013020,info@tremblayms.ca,UVL,S. AUCLAIR
BEKINS MOVING & STORAGE CANADA LTD.,922,1-8860 JIM BAILEY CRES.,,KELOWNA,BC,V4V 2L7,Canada,2507661966,8885797731,kelownasales@bekins.ca,UVL,DAWN MILLER
TREMBLAY M&S,923,404 HAMILTON RIVER RD,,GOOSE BAY,NL,A0P 1E0,Canada,8448086540,5817013020,info@tremblayms.ca,UVL,S. AUCLAIR
MARTEL EXPRESS (MONTREAL) INC.,925,10105 HENRI-BOURASSA BLVD W,,ST. LAURENT,QC,H4S 1A1,Canada,5143313311,5143313371,info@martelexpressmontreal.com,UVL,MATHIEU VALADE
JOHN THOMPSON MOVERS,926,55 MIDPARK CRES.,,LONDON,ON,N6N 1A9,Canada,5196812070,5196817931,jodim@campbellbros.com,UVL,LAURIE CUSHMAN
MATCO TRANSPORTATION SYSTEMS,929,120 ENTERPRISE DRIVE,,YELLOWKNIFE,NT,X1A 2P2,Canada,8678733333,8678734998,yellowknife@matco.ca,UVL,LEON JOHNSON
SAAMIS MOVING & STORAGE,934,1218 2ND AVE.,#2,DUNMORE,AB,T1B 0L4,Canada,4035263535,4035284401,899755moving@canopycanada.net,UVL,DAN HAMILTON
RAPID MOVING INC.,936,"1630, BOUL. TALBOT",,QUEBEC CITY,QC,G2N 0C5,Canada,4185295708,4188496473,rapideqc@globetrotter.net,UVL,ERIC AUCLAIR
RAY'S MOVING & STORAGE CO. LTD,937,611 - 47TH ST. E.,,SASKATOON,SK,S7K 5G5,Canada,3069331122,3069333208,raysmoving@sasktel.net,UVL,MARK LAMONTAGNE
JOHN THOMPSON MOVERS,938,"RR#5,121 SHANE ST. SPR'MOUNT BUS. PK.",,OWEN SOUND,ON,N4K 5N7,Canada,5193767613,5193761077,jtmovers@bmts.com,UVL,ROB FRASER
CAMPBELL BROS. MOVERS LIMIED,943,55 MIDPARK CRES.,,LONDON,ON,N6N 1A9,Canada,5196815710,5196817931,jodim@campbellbros.com,UVL,LAURIE CUSHMAN
RAPID MOVING INC.,946,162 JOSEPH GAGNE NORD,,LA BAIE,QC,G7B 4T1,Canada,8007398278,4186930851,rapidedemenagement@bellnet.ca,UVL,MAGGIE JORON
RAY'S MOVING & STORAGE CO. LTD,947,170 HODSMAN ROAD,,REGINA,SK,S4N 5X4,Canada,3067219900,3067215066,raysregina@sasktel.net,UVL,DAN WESA
MIKE'S MOVING & STORAGE (CHATHAM) LTD,948,420 COLBORNE STREET,,CHATHAM,ON,N7M 5J4,Canada,5193548430,0,mike@mikesmoving.ca,UVL,TAMMY HOLLAND
BEKINS MOVING AND STORAGE,960,14251 BURROWS ROAD,,RICHMOND,BC,V6V 1K9,Canada,6042701120,6042769819,sales@bekins.ca,UVL,BRIAN LEE
BURGESS TRANSFER & STORAGE,962,20 OLAND COURT,BURNSIDE IND. PARK,DARTMOUTH,NS,B3B 1V2,Canada,9024682929,9024681779,moving@burgesstransfer.com,UVL,SCOTT BURGESS
HOWARD'S VAN & STORAGE LTD.,967,PO BOX 20065,BRANDON SOUTH RBO,BRANDON,MB,R7A 6Y8,Canada,2047286019,2047261433,sales@howardsvan.com,UVL,DON HOWARD
LEDREW'S EXPRESS,980,111A BLACKMARSH RD.,,ST. JOHN'S,NL,A1E 1S6,Canada,7097471020,7097472234,rexledrew@ledrewsexpress.com,UVL,REX LEDREW
LEN WRAYS MOVING AND STORAGE LTD.,981,1052 GIBSONS WAY,,GIBSONS,BC,V0N 1V0,Canada,6048862664,6048863276,info@lenwrays.com,UVL,ROMEO LIZEE
HUDSON MOVERS LTD.,982,357 KENNEDY ROAD,,SCARBOROUGH,ON,M1K 2A2,Canada,4162611499,4162611695,hudson@hudsonmovers.com,UVL,JOHN CLIFFORD
CAMPBELL MOVING SYSTEMS,983,165 IBER ROAD,,STITTSVILLE,ON,K2S 1E7,Canada,6138314734,6138319501,campbellmoving@bellnet.ca,UVL,MURRAY CROSBY
CAMPBELL R & B MOVING SYSTEMS,985,3410 50TH STREET,,COLD LAKE,AB,T9M 1S6,Canada,7805942859,7805942879,,UVL,ROCKY WELSH
HHM TRANSPORTATION SOLUTIONS LTD.,986,227 HENRI DUNANT ST.,,MONCTON,NB,E1E 1E4,Canada,5068592442,5068591918,moncton@hhmtransportation.ca,UVL,RON MACDONALD
DAWSON CREEK MOVING & STORAGE,988,921 - 99 AVENUE,,DAWSON CREEK,BC,V1G 1T6,Canada,2507822855,2507821433,dcms@telus.net,UVL,DAVID NELSON
TRANSPORT W. CYR (1984) INC.,995,1050 DE L'INDUSTRIE,,ST. JEROME,QC,J7Y 4B9,Canada,4504322277,4504385477,christian@godard.qc.ca,UVL,RICHARD SICARD
D.G. MACDONALD MOVING,996,10 RUE EMILE-BOND,,GATINEAU,QC,J8Y 3M7,Canada,8197707740,8197707460,dick@dgmacdonaldmoving.com,UVL,JONATHON GILBOA
BURLINGTON MOVERS,998,1160 BLAIR ROAD UNIT 1,,BURLINGTON,ON,L7M 1K9,Canada,9053369947,9053362003,,UVL,ED WELLER
TRANSFEREASE - VERANOVA,1486,22 - 5155 SPECTRUM WAY,,MISSISSAUGA,ON,L4W 5A1,Canada,9056024065,,CINDYV@TRANSRELO.COM,UVL,CINDY OR SALMA
WILLIAMS HAULING DIVISION,1488,2401 UNITED BLVD.,,COQUITLAM,BC,,Canada,,,,UVL,GLENN THOMPSON
MILLER THE MOVER,1490,84 BERENS RD,,THOMPSON,MB,R8N 1X2,Canada,2047786988,2043342337,operations@millerthemover.ca,UVL,PAUL LAFRENIERE
MOVER ONE FREIGHT,1497,7229 PACIFIC CIRCLE,,MISSISSAUGA,ON,L5T 1S9,Canada,9055646400,9055643089,,UVL,RAY CRAWFORD
NORTH COUNTRY VAN & STORAGE,1806,10203-121ST,,GRANDE PRAIRIE,AB,T8V 8B5,Canada,7805322662,7805322872,gpmovers@telus.net,UVL,TIM MARTIN
ADVANTAGE RELOCATION SYSTEMS,1807,"Unit #101, 8930-111th st",,GRANDE PRAIRIE,AB,T8V 4W1,Canada,7805322662,7805322872,gpmovers@telus.net,UVL,TIM MARTIN
AUCLAIR MOVING INC.,1816,"1630, BOUL. TALBOT",,QUEBEC CITY,QC,G2N 0C5,Canada,8004635796,4188496473,rapideqc@globetrotter.net,UVL,ERIC AUCLAIR
RAPID MOVING INC.,1834,25 ASPEN ROAD,,GOOSE BAY,NL,A0P 1C0,Canada,7098960096,7098960097,rapideqc@globetrotter.net,UVL,MARGARET ONEILL
LOAD LINK,1906,7229 PACIFIC CIRCLE,,MISSISSAUGA,ON,L5T 1S9,Canada,9057954012,9057953605,,UVL,SCOTT FOWLER
WILLIAMS,6000,,,,BC,,Canada,,,,UVL,
TRANSFEREASE - VERANOVA,2,22- 5155 SPECTRUM WAY,,MISSISSAUGA,ON,L4W 5A1,Canada,9056024065,,SALMAA@TRANSRELO.COM,MVL,SALMA OR CINDY
MIKE THE MOVER,792,62 DAWSON RD.,,GUELPH,ON,N1H 1A8,Canada,5198220298,5198244591,,MVL,RUSS OLENCHUK
LES DEMENAGEMENTS COTE,803,2890 AVENUE KEPLER,,QUEBEC CITY,QC,G1X 3V4,Canada,4186528222,4186527177,raymonde@m803.ca,MVL,R. GRENIER
ALL ABOARD MOVING SERVICES,812,1440 PARK AVENUE,,BRANDON,MB,R7A 6Y8,Canada,2047275575,2047261433,sales@allaboardmayflower.ca,MVL,DAVID HOWARD
TOR'S MOVING & DELIVERY,814,BOX 1360 HWY #2,BOX 1360,BLACKFALDS,AB,T0M 0J0,Canada,4038855850,4038854868,avl@telusplanet.com,MVL,PETER MONTEITH
REDPATH RELOCATIONS INC.,816,"103, 7 BURBIDGE ST.",,COQUITLAM,BC,V3K 7B2,Canada,6049459910,6049459915,info@redpathrelocations.com,MVL,TIM REDPATH
TRANSPORT DU FJORD,850,2379 RUE CANTIN,PARC INDUSTRIEL,JONQUIERE,QC,G7X 8S7,Canada,4185472603,4186954929,info@demenagementtransportdufjord.com,MVL,ANDRE DALLAIRE
J & N MOVING SERVICES,851,PO BOX 1814,BLDG 1559 A,IQALUIT,NU,X0A 0H0,Canada,8679792460,8679797782,jlweir@northwestel.net,MVL,JAMES WEIR
LES ENTREPOTS DE JONQUIERE INC.,855,"2379 RUE CANTIN, PARC INDUSTRIEL",,JONQUIERE,QC,G7X 8S7,Canada,4185427747,4186954929,info@entrepotjonquiere.com,MVL,ANDRE DALLAIRE
C.A. DEMENAGEMENT INC.,865,1200 DE ROYAN,,LAVAL,QC,H7N 6E7,Canada,4506685203,4506679914,info@cademenagement.com,MVL,ALAIN COUTURE
JAMES THE MOVER LTD,877,"1160 BLAIR ROAD, UNIT #9",,BURLINGTON,ON,L7M 1K9,Canada,9055613631,9053362003,chrisc@movereservation.com,MVL,KIM INGLIS
RANGER MOVING SYSTEMS INC.,880,7687 BATH RD.,,MISSISSAUGA,ON,L4T 3T1,Canada,9054611732,9054610420,info@rangermovingsystems.com,MVL,MARC RATCLIFFE
ST. GEORGE MOVING & STORAGE,890,3510 - 5TH AVE N,,LETHBRIDGE,AB,T1H 3Z7,Canada,4033281381,4033205292,lmsmove@telusplanet.net,MVL,GARY STEPNEY
