Name,Code,CA Agency Code,Address,City,State,Zip,Phone,Fax,Email,Brand,VanLineID
Central Van & Storage,0154000,,301 Jacobson Drive,Poca,WV,25159,304-755-1898,304-755-1910,mcastellano@centralvan.com,AVL,1
"Central Van & Storage, Inc.",0154001,,Rt. 2 Box 839,Shinnston,WV,26431,304-592-1760,304-592-5673,gpapa@centralvan.com,AVL,1
Central Van & Storage,0154002,,595 Meadowlands Blvd.,Washington,PA,15301,724-222-1101,724-225-0420,gpapa@centralvan.com,AVL,1
Compass Moving and Storage,0157000,,4655 Geneva Street,Denver,CO,80239,303-333-1090,303-329-6990,Able.Denver@GreatPlainsMoving.com,AVL,1
Compass Moving and Storage,0157001,,760 Ford Street,Colorado Springs,CO,80915,719-591-9330,719-597-3715,Able.Colosp@GreatPlainsMoving.com,AVL,1
"American Van Service, Inc.",0159000,,7704 West Geiger Blvd,Spokane,WA,99224,509-747-1111,509-835-3773,jason@americanvanservice.com,AVL,1
"Alliance Moving Systems, LLC",0163000,,375 Spring Buck Rd,Gypsum,CO,81637,970-328-6683,970-328-5083,andyalliance@aol.com,AVL,1
"Bay Shore Storage Warehouse, Inc.",0172000,,One Corporate Drive,Hauppauge,NY,11788,631-231-1313,631-231-1375,bbrooks@bayshoremoving.com,AVL,1
Belmont Moving Corp.,0173000,,2825 Maxx Road,Evansville,IN,47724,812-423-5425,812-423-5098,belmont1@evansville.net,AVL,1
"Berger Transfer & Storage, Inc.",0179000,,2950 Long Lake Road,Roseville,MN,55113,651-639-2260,651-639-2277,move@bergerallied.com,AVL,1
"Berger Transfer & Storage, Inc.",0179001,,1515 West Fullerton Avenue,Addison,IL,60101,630-620-1311,630-620-7514,move@bergerallied.com,AVL,1
"Berger Transfer and Storage, Inc.",0179002,,3720 Macalaster Drive,Minneapolis,MN,55421,651-639-2260,651-639-2277,move@bergerallied.com,AVL,1
Berger Transfer & Storage - Corporate Business Development Team,0179004,,1515 West Fullerton Avenue,Addison,IL,60101,651-639-2260,,marym@bergerallied.com,AVL,1
"Bayshore Transportation System, Inc.",0186000,,901 Dawson Drive,Newark,DE,19713,302-366-0220,302-366-8085,move@bayshoreteam.com,AVL,1
"Bayshore Transportation System, Inc.",0186001,,23000 Ladbrook Drive,Dulles,VA,20167,703-492-8900,703-661-3555,move1@bayshoreteam.com,AVL,1
"Baker Transfer & Storage Company, Inc.",0203000,,706 Daniel Street,Billings,MT,59101,406-245-3147,406-245-6608,larrymclellan@bresnan.net,AVL,1
"Daniel Moving & Storage Company, Inc.",0208000,,1001 North Magnolia Street,North Little Rock,AR,72114,501-375-8191,501-375-1075,dmd_3@sbcglobal.net,AVL,1
Berger Transfer & Storage,0210000,,3021 Mangum,Houston,TX,77092,713-688-0381,713-956-9871,move@bergerallied.com,AVL,1
Petoskey Moving Company,0212000,,1680 Clarion Avenue,Petoskey,MI,49770,231-347-2300,231-347-6676,fought@petoskeymoving.com,AVL,1
"Albuquerque Moving & Storage Co., Inc.",0215000,,5001 Paseo Del Norte NE,Albuquerque,NM,87113,505-823-1441,505-828-1846,galvarez@abqmoving.com,AVL,1
"Broadway Moving & Storage, Inc.",0226000,,"4205 South B St., Suite A",Stockton,CA,95206,209-337-0280,209-337-0291,paula@bmsionline.com,AVL,1
"Citizens Transfer & Storage Co., Inc.",0341000,,601 East 24th Street,Tucson,AZ,85713,520-623-6301,520-622-1137,mail@citizenstransfer.com,AVL,1
"Clancy's Transfer & Storage, Inc.",0348000,,841 North Sixth Avenue,Walla Walla,WA,99362,509-529-2022,509-529-6296,clancys@bmi.net,AVL,1
"Clancy's Transfer & Storage, Inc.",0348001,,1100 Columbia Park Trail,Richland,WA,99352,509-736-6683,509-735-8664,clancysallied@aol.com,AVL,1
Coakley Bros. Co.,0350000,,400 South 5th Street,Milwaukee,WI,53204,414-278-7060,414-278-8830,kkaufmann@coakleybros.com,AVL,1
Coakley Brothers,0350001,,2918 Agricultural Drive,Madison,WI,53718,414-278-7060,414-278-8830,slemke@coakleybrothers.com,AVL,1
"Colonial Van & Storage, Inc.",0356000,,214 South Broadway,Fresno,CA,93721,559-264-3025,559-264-7902,dj@colonialvan.com,AVL,1
"Colonial Van & Storage, Inc.",0356002,,6001 88th Street,Sacramento,CA,95828,916-381-1372,916-381-3783,dave@colonialvan.com,AVL,1
"Colonial Van & Storage, Inc.",0356003,,150 South Stanford Way,Sparks,NV,89431,775-352-8000,775-352-8007,danna@colonialvan.com,AVL,1
"Colonial Van & Storage, Inc.",0356004,,415 W. Third Street,Hanford,CA,93230,559-585-1902,559-264-7902,dj@colonialvan.com,AVL,1
"Cowboy Moving & Storage, Inc.",0363000,,104 Fetterman Street,Laramie,WY,82070,307-745-3325,307-745-8525,cowboymov@netscape.net,AVL,1
"Coleman American Moving Services, Inc.",0365000,,7280 Graham Road,Fairburn,GA,30213,770-306-8381,770-306-7258,leslie.murphy@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0375000,,109 Loftin Road,Dothan,AL,36303,334-792-1117,334-792-2865,dewey.jones@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0375001,,1200-A Ellis Road North,Jacksonville,FL,32254,904-786-1300,904-786-6003,edward.habicht@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0375002,,2200 E. 13th Street,Panama City,FL,32402,850-785-2070,850-784-8067,mark.johnson@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0375003,,1285 Parker Street,Montgomery,AL,36108,334-263-0585,334-264-6887,sonny.turner@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0375004,,193 Slaughter Road,Huntsville,AL,35807,256-837-2811,256-837-7577,mike.dyson@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0375005,,4520-A Cargo Drive,Columbus,GA,31907,706-641-7160,706-641-7158,randy.robinson@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0375006,,4880 F Street,Omaha,NE,68117,402-733-2560,402-733-5040,thomas.rothanzl@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0375007,,7280 Graham Road,Fairburn,GA,30213,770-306-8381,770-306-7258,brian.vick@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0375008,,#1 COVAN Drive,Midland City,AL,36350,334-983-6500,334-983-6716,sherri.alley@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0376000,,2711 Highway 17,Richmond Hill,GA,31324,912-756-2660,912-756-3264,beth.uhlig@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0376001,,15333 Farm Creek Dr.,Woodbridge,VA,22191,703-490-4910,703-490-4640,jon.coon@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0376002,,12905 Shawnee Mission Parkway,Shawnee,KS,66216,913-631-1440,913-631-5505,jason.christiansen@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0376003,,8220 Patuxent Range Road,Jessup,MD,20794,240-295-4420,240-295-4426,rick.disanti@covan.com,AVL,1
"Coleman American Moving Services, Inc.",0376004,,4003 Ft. Campbell Boulevard,Hopkinsville,KY,42240,270-885-8457,270-886-6432,robert.adams@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0376005,,114 W. Trinity Lane,Nashville,TN,37207,615-650-6644,615-650-0506,joe.grajewski@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0376006,,1427 Marvin Griff Road,Augusta,GA,30906,706-722-7726,706-724-3069,eric.mann@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0376007,,126 Booker Street,Warner Robins,GA,31093,478-922-2233,478-328-9392,ron.holt@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0379000,,2142 Joyce Dr.,Corpus Christi,TX,78417,361-851-0040,361-851-0381,jeff.macnutt@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0379001,,2120 - A Montevallo Rd.,Birmingham,AL,35211,205-942-0009,205-942-0059,brian.jolley@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0379002,,2160 South Hancock Expressway,Colorado Springs,CO,80910,719-634-0908,719-634-7020,tom.graver@@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0379003,,44553 S. Airport Rd,Hammond,LA,70403,985-365-0080,985-365-0085,cecily.haley@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0379004,,519 Highway 190,Valparaiso,FL,32580,850-678-2328,850-678-7654,william.haney@covan.com,AVL,1
"Coleman American Moving Services, Inc.",0379005,,"5235 Kooiman Road, Building 6-A",Theodore,AL,36582,251-653-3008,251-653-6144,joe.richardson@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0379006,,2000 U.S. Hwy 190 West Ste 104,Belton,TX,76513,254-939-9000,254-939-9282,jad.tawater@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0379007,,5819 Lexington Street,El Paso,TX,79924,915-755-5530,915-755-5541,david.buntyn@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0382000,,"1510 Corner Way Blvd., Ste. 113",San Antonio,TX,78219,210-822-0400,210-662-4136,coleman.medina@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0382002,,"10020 N. Palafox St., Suite A",Pensacola,FL,32534,850-262-1552,850-262-1555,rufus.green@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0382003,,"603 NorthparkCentral Drive, Suite 200",Houston,TX,77073,281-821-3183,281-443-7432,george.parrow@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0382004,,1001 Progress St.,Plano,TX,75074,972-881-9822,972-881-9833,dallas.tx@colemanallied.com,AVL,1
DunMar Moving Systems,0383000,,8030 Whitepine Road,Richmond,VA,23237,804-271-0500,804-271-6342,richmond@dunmar.com,AVL,1
DunMar Moving Systems,0383002,,"6501 Commonwealth Drive, S.W.",Roanoke,VA,24018,540-772-0712,540-772-2768,roanoke@dunmar.com,AVL,1
"Coleman American Moving Services, Inc.",0384000,,2105 Frank Albert Road,Fife,WA,98424,253-826-0220,253-826-0030,tracey.pidge@colemanamerican.com,AVL,1
"Coleman American Moving Services, Inc.",0384001,,717 E. Ship Creek Drive,Anchorage,AK,99501,907-276-3506,907-258-3986,lachelle.stewart@alliedalaska.com,AVL,1
"Coleman American Moving Services, Inc.",0384002,,1900 Livengood Avenue,Fairbanks,AK,99701,907-452-4118,907-452-5233,jenniferl@aaa-moving.com,AVL,1
"Coleman American Moving Services, Inc.",0384003,,5350 Shaune Drive,Juneau,AK,99801,907-780-4374,907-780-3672,phil@aaa-moving.com,AVL,1
"Coleman American Moving Services, Inc.",0384004,,11590 Rezanof West,Kodiak,AK,99615,907-487-2140,907-487-4999,geri@aaa-moving.com,AVL,1
"Coleman American Moving Services, Inc.",0384006,,94 Kelly Drive,Ward Cove,AK,99928,907-225-5551,907-225-0322,john@aaa-moving.com,AVL,1
"Coleman American Moving Services, Inc.",0384007,,5218 Halibut Pt. Road,Sitka,AK,99835,907-747-7281,,john@aaa-moving.com,AVL,1
"Coleman American Moving Services, Inc.",0385000,,140 Brynn Marr Road,Jacksonville,NC,28546,910-346-2667,910-346-1921,robert.ambrose@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0385001,,"10015 Waples Court, Suite A",San Diego,CA,92121,858-658-0709,858-558-3765,matthew.grimes@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0385002,,9262 NW 101 Street,Medley,FL,33178,305-514-0501,305-805-2201,ken.nargi@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0385003,,715 Whitfield St.,Fayetteville,NC,28306,910-433-3031,910-433-0921,gary.adams@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0385004,,3107 Neuse Blvd.,New Bern,NC,28560,252-638-1384,252-638-3256,shanell.mccord@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0385005,,2115 SW 6th Street,Lawton,OK,73502,580-355-6626,580-355-4820,wade.roth@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0385006,,5925 Corporation Drive,Manhattan,KS,66503,785-537-7692,785-537-7704,chris.hamam@covan.com,AVL,1
"Coleman American Moving Services, Inc.",0387000,,2822 Commerce Drive,Columbia,SC,29205,803-771-6400,803-252-0135,mark.schettler@colemanallied.com,AVL,1
"Coleman American Moving Services, Inc.",0387001,,511 N. Pike East,Sumter,SC,29150,803-773-8340,803-775-6922,sean.pressley@colemanallied.com,AVL,1
Coleman American Moving Services,0387003,,6825 N.W. 16 Terrrace,Fort Lauderdale,FL,33309,954-974-7700,334-983-6700,cams60@colemanamerican.com,AVL,1
Coleman American Moving Services,0387004,,"4317 Fortune Place., Suite A",Melbourne,FL,32904,321-952-4300,321-952-4900,debbie.lane@colemanallied.com,AVL,1
Coleman American Moving Services,0387005,,61 Basil Sawyer Drive,Hampton,VA,23666,757-827-6225,757-827-6181,ricky.banks@colemanallied.com,AVL,1
Columbine Moving & Storage,0389000,,411 Airport Business Center,Aspen,CO,81611,970-925-2201,970-925-9558,bortmann@columbinemoving.com,AVL,1
Columbine Moving & Storage,0389001,,0930 Chambers Avenue,Eagle,CO,81631,970-328-2008,970-328-2009,chipole@columbinemoving.com,AVL,1
Berger Dallas,0396000,,14850 Grand River Road,Fort Worth,TX,76155,817-799-3000,817-799-3049,move@bergerallied.com,AVL,1
Berger Transfer and Storage,0396001,,15415 Long Vista Drive,Austin,TX,78728,512-834-7777,512-834-0539,move@bergerallied.com,AVL,1
Berger Transfer & Storage Inc.,0396002,,17327 Green Mountain Road Suite 108,San Antonio,TX,78247,210-507-9101,210-507-9157,move@bergerallied.com,AVL,1
Berger Phoenix,0400000,,602 S. 54th Avenue,Phoenix,AZ,85043,602-254-7181,602-243-0123,move@bergerallied.com,AVL,1
Berger Transfer & Storage,0400002,,600 E. Cheyenne Ave.,Las Vegas,NV,89030,702-399-9913,702-399-6616,,AVL,1
Berger Transfer & Storage,0403000,3379,5115W. Clifton St.,Tampa,FL,33634,813-885-6771,813-884-4921,tampabaymovingsystems@bergerallied.c,AVL,1
"Circle Moving & Storage, Inc.",0406000,,3333 East Willow Street,Long Beach,CA,90806,562-424-0451,562-424-6312,circlemoving@circlemoving.com,AVL,1
"Central-Herrin Storage & Transfer Co., Inc.",0409000,,1305 Marshall Street,Shreveport,LA,71101,318-221-5135,318-221-4194,mail@central-herrin.com,AVL,1
"Clemmer Moving & Storage, Inc.",0415000,,425 Schoolhouse Road,Telford,PA,18969,215-723-5515,215-723-1535,sslingsby@clemmermoving.com,AVL,1
"Clemmer Moving & Storage, Inc.",0415004,,425 Schoolhouse Rd.,Telford,PA,18969,215-723-5515,,psadler@clemmermoving.com,AVL,1
"Clover International Movers, LLC",0418000,,1910 N.W. 97th Ave.,Miami,FL,33172,305-436-8032,305-499-7047,mabel.olivera@clovergroup.com,AVL,1
"Champion Moving & Storage, Inc.",0422000,,100 Owens Road,Brockport,NY,14420,585-235-3500,585-235-2105,cmsinc@choiceonemail.com,AVL,1
NOR-CAL Moving Services,0556000,,2001 Marina Boulevard,San Leandro,CA,94577,510-357-7111,510-357-6111,pjmazzetti@nor-calmoving.com,AVL,1
NOR-CAL Moving Services,0556001,,680 85th Ave,Oakland,CA,94621,415-330-2800,510-957-0365,pjmazzetti@nor-calmoving.com,AVL,1
NC Texas Moving Services,0556003,,9010 West Little York Rd.,Houston,TX,77040,713-983-8047,713-983-8549,pjmazzetti@nctmoving.com,AVL,1
"Excel Moving and Storage, Inc.",0610000,,2612 Discovery Drive,Raleigh,NC,27616,919-873-9235,919-873-9254,moveinfo@excelms.com,AVL,1
"Excel Moving & Storage of Greensboro, Inc.",0610001,,306 Concord Street,Greensboro,NC,27406,336-299-2003,336-299-0023,dstaley@excelms.com,AVL,1
Excel Moving and Storage of Charleston,0610002,,7143 Bryhawke Circle,Charleston,SC,29418,843-654-7770,843-654-7790,rpeirce@excelms.com,AVL,1
Emrick's Van & Storage Co.,0612000,,3126 South Van Buren,Enid,OK,73703,580-234-5736,580-242-8050,emricksenid@emricksallied.com,AVL,1
Emrick's Van & Storage Co.,0612001,,4021 - 25 N.W. 3rd,Oklahoma City,OK,73107,405-946-4472,405-946-4430,emricksokc@emricksallied.com,AVL,1
"Piepho Moving & Storage, Inc.",0617000,,1300 Oak Forest Drive,Onalaska,WI,54650,608-783-3400,608-781-5126,doug@piepho.com,AVL,1
Dunmar Moving Systems,0623000,,130 South Military Highway,Norfolk,VA,23502,757-461-8888,757-461-5192,norfolk@dunmar.com,AVL,1
Berger Transfer & Storage,0626000,,9770 Inter Ocean Drive,Cincinnati,OH,45246,513-874-4800,513-341-2169,move@bergerallied.com,AVL,1
Eldredge & Bourne Moving & Storage,0627000,,538 Bearses Way,Hyannis,MA,02601,508-775-1050,508-790-2456,jgoode@eldredgebourne.com,AVL,1
Berger Atlanta Movers,0632000,,750 Progress Industrial Boulevard,Lawrenceville,GA,30043,770-962-6600,770-339-0075,move@bergerallied.com,AVL,1
American Moving Services,0636000,,1324 East 44th Street,Lubbock,TX,79404,806-747-4472,806-747-8417,americanmoving@nts-online.net,AVL,1
Berger Transfer & Storage,0640000,,"10350 Nations Ford Road, Suite Y",Charlotte,NC,28273,704-587-1100,704-588-4201,move@bergerallied.com,AVL,1
Berger Transfer & Storage,0644000,,3410 Robards Court,Louisville,KY,40218,502-301-8100,502-301-8119,move@bergeralllied.com,AVL,1
"John Fayard Moving & Warehousing, L.L.C.",0704000,,10323 Express Dr.,Gulfport,MS,39505,228-864-2262,228-864-1450,vanessac@johnfayardwarehouse.com,AVL,1
Federal Warehouse Company,0713000,,101 National Road,East Peoria,IL,61611,309-694-4500,309-698-8848,peoria@federalcos.com,AVL,1
Federal/O'Byrne Moving & Storage,0713002,,401 W. Kenyon Road,Champaign,IL,61820,217-352-5123,217-352-4411,champaign@federalcos.com,AVL,1
"Findlay Moving & Storage, Inc.",0716000,,326 South Fulton Avenue,Mount Vernon,NY,10553,914-699-1100,914-699-1166,cathy@findlaymoving.com,AVL,1
Berger Transfer & Storage,0717000,,1111 Milepost Drive,Columbus,OH,43228,614-347-5970,614-347-5998,move@bergerallied.com,AVL,1
Berger Transfer & Storage,0720000,,8649 S. Freeway Dr.,Macedonia,OH,44056,330-468-7600,330-468-7639,move@bergerallied.com,AVL,1
Forest Moving & Storage,0727000,,1700 Brinson Street,De Ridder,LA,70634,337-239-9555,337-462-2405,reesemd@wnonline.net,AVL,1
Forest Moving & Storage,0727001,,1203 University Parkway,Leesville,LA,71446,337-239-6033,337-239-0146,jwells@worldnetla.net,AVL,1
Lansing Moving,0729000,,2888 South Creyts Road,Lansing,MI,48917,517-322-2234,517-322-0093,jmherrick@alliedagent.com,AVL,1
Federal/Gateway Moving & Storage,0742000,,1975 Walton Road,Overland,MO,63114,314-429-3300,314-429-5925,stlouis@federalcos.com,AVL,1
"TFC, Inc. (affiliated with/Federal Peoria)",0742007,,1975 Walton Road,Overland,MO,63114,309-694-4500,,brad.adams@federalcos.com,AVL,1
Federal/Johnson Moving & Storage,0743000,,2035 East Olive,Decatur,IL,62526,217-429-4131,217-422-3366,decatur@federalcos.com,AVL,1
"Farley Brothers of Lancaster, Inc.",0748000,,334 East Avenue K-4,Lancaster,CA,93535,661-948-4541,661-948-4544,farleybroslancaster@gmail.com,AVL,1
Federal/Johnson Moving & Storage,0754000,,2021 Eagle Road,Normal,IL,61761,309-452-6333,309-452-6455,bloomington@federalcos.com,AVL,1
"Federal Van Lines, Inc.",0756000,,320 Taunton Avenue,East Providence,RI,02914,401-434-4410,401-434-6420,rimover@aol.com,AVL,1
O'Brien's-Glose Moving & Storage,0817000,,7066 Snowdrift Rd,Allentown,PA,18106,610-391-8311,610-391-0311,admin@obriens-moving.com,AVL,1
O'Brien's Moving & Storage,0817003,,130 Redners Way,Leesport,PA,19533,610-391-8300,610-391-0311,admin@obriens-moving.com,AVL,1
Stuart Moving Services,0844000,,3160 S. E. Dixie Highway,Stuart,FL,34997,772-223-6683,772-287-6027,ggms@bellsouth.net,AVL,1
"Grand Strand Moving & Storage, LLC",0845000,,141 E. Coxes Ferry Road,Conway,SC,29526,843-234-1181,843-347-2541,grandstrand_mvg@yahoo.com,AVL,1
"General Warehouse Co., Inc.",0852000,,1812 Mascaro Lane,Port Royal,SC,29935,843-524-7545,843-524-7380,mail@gwcmoves.com,AVL,1
Callan & Woodworth Moving & Storage,0918000,,900 Highway 212,Michigan City,IN,46360,219-874-3274,219-872-0776,diana@callanmoving.com,AVL,1
Callan & Woodworth Moving & Storage,0918001,,5489 Red Arrow Highway,Stevensville,MI,49127,269-428-2118,269-428-2191,jim@callanmoving.com,AVL,1
